Entities,Tokens,Raw Text
"['O', 'O', 'O', 'B-Technology', 'I-Technology', 'I-Technology', 'O', 'O', 'O', 'B-Date_and_Time', 'B-Technology', 'I-Technology', 'I-Technology', 'I-Technology', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Date_and_Time', 'O', 'B-Location', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Duration', 'O']","['The', 'combination', 'of', 'Green', 'Revolution', 'technology', 'in', 'the', 'late', '1960s', 'and', 'Training', 'and', 'Visit', '(', 'T', '&', 'V', ')', 'extension', 'in', 'the', 'mid-1970s', 'enabled', 'India', 'to', 'achieve', 'food', 'self-sufficiency', 'during', 'the', '1980s-1990s', '.']",The combination of Green Revolution technology in the late 1960s and Training and Visit (T&V) extension in the mid-1970s enabled India to achieve food self-sufficiency during the 1980s-1990s.
"['O', 'O', 'O', 'B-Crop', 'O', 'O', 'B-Natural_Disaster', 'O', 'B-Organization', 'O', 'O', 'B-Crop', 'O', 'B-ML_Model', 'I-ML_Model', 'O', 'O', 'O', 'O', 'O', 'B-Natural_Disaster', 'I-Natural_Disaster', 'B-Organization', 'O', 'O', 'B-Organization', 'O', 'B-Crop', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Organization', 'B-Organization', 'B-Organization', 'B-Organization', 'B-Organization', 'B-Organization', 'B-Organization', 'B-Organization', 'B-Crop', 'B-Organization', 'B-Crop', 'O', 'B-Crop', 'I-Crop', 'I-Crop', 'I-Crop', 'I-Crop', 'O']","['We', 'used', 'current', 'and', 'projected', 'future', 'climate', 'data', 'for', '~2055', ',', 'and', 'the', 'Ecocrop', 'model', 'to', 'predict', 'the', 'impact', 'of', 'climate', 'change', 'on', 'areas', 'suitable', 'for', 'all', 'crops', 'listed', 'in', 'Table', '1', 'of', 'the', 'International', 'Treaty', 'on', 'Plant', 'Genetic', 'Resources', 'for', 'Food', 'and', 'Agriculture', 'and', 'other', 'major', 'staple', 'and', 'cash', 'crops', '.']","We used current and projected future climate data for ~2055, and the Ecocrop model to predict the impact of climate change on areas suitable for all crops listed in Table 1 of the International Treaty on Plant Genetic Resources for Food and Agriculture and other major staple and cash crops."
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Location', 'I-Location', 'O', 'O', 'O', 'O', 'O', 'B-Location', 'I-Location', 'O']","['It', 'also', 'occupies', 'the', 'estern', 'part', 'of', 'Volta', 'region', 'and', 'most', 'parts', 'of', 'th', 'Central', 'region', '.']",It also occupies the estern part of Volta region and most parts of th Central region.
"['O', 'B-Crop', 'I-Crop', 'I-Crop', 'O', 'B-Crop', 'O', 'B-Crop', 'O', 'B-Crop', 'O', 'B-Crop', 'O', 'O', 'O']","['Well-known', 'staple', 'food', 'crops', 'are', 'wheat', ',', 'rice', ',', 'corn', ',', 'beans', ',', 'etc', '.']","Well-known staple food crops are wheat, rice, corn, beans, etc."
"['O', 'O', 'O', 'O', 'O', 'B-Organization', 'I-Organization', 'I-Organization', 'I-Organization', 'O', 'B-Organization', 'O', 'O', 'O', 'O', 'O', 'B-Duration', 'I-Duration', 'I-Duration', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Other_Quantity', 'I-Other_Quantity', 'O', 'O', 'O', 'O', 'O', 'B-Other_Quantity', 'I-Other_Quantity', 'I-Other_Quantity', 'O', 'O', 'O', 'O', 'O', 'B-Location', 'I-Location', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Policy', 'I-Policy', 'I-Policy', 'I-Policy', 'I-Policy', 'I-Policy', 'I-Policy', 'I-Policy', 'O', 'O', 'B-Date_and_Time', 'O']","['The', 'pilot', 'phase', 'of', 'the', 'Agricultural', 'Technology', 'Management', 'Agency', '(', 'ATMA', ')', 'model', ',', 'conducted', 'between', '1998', 'and', '2005', ',', 'paved', 'the', 'way', 'for', 'its', 'expansion', 'to', 'incorporate', '252', 'districts', 'and', 'subsequent', 'extension', 'to', 'cover', '591', 'rural', 'districts', 'across', '29', 'States', 'and', '2', 'Union', 'Territories', 'under', 'the', 'centrally', 'sponsored', 'scheme', '``', 'Support', 'to', 'State', 'Extension', 'Programmes', 'for', 'Extension', 'Reforms', ""''"", 'in', '2005', '.']","The pilot phase of the Agricultural Technology Management Agency ( ATMA ) model , conducted between 1998 and 2005 , paved the way for its expansion to incorporate 252 districts and subsequent extension to cover 591 rural districts across 29 States and 2 Union Territories under the centrally sponsored scheme `` Support to State Extension Programmes for Extension Reforms '' in 2005 ."
"['O', 'B-Location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['In', 'India', ',', 'it', 'is', 'generally', 'done', 'traditionally', ',', 'i.e', '.']","In India, it is generally done traditionally, i.e."
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Other_Quantity', 'I-Other_Quantity', 'O', 'B-Date_and_Time', 'O', 'B-Other_Quantity', 'I-Other_Quantity', 'O', 'B-Date_and_Time', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Over', 'the', 'span', 'of', '50', 'years', ',', 'the', 'population', 'surged', 'from', '361', 'million', 'in', '1951', 'to', '1140', 'million', 'in', '2011', ',', 'showing', 'a', 'more', 'than', 'threefold', 'rise', '.']","Over the span of 50 years , the population surged from 361 million in 1951 to 1140 million in 2011 , showing a more than threefold rise ."
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['From', 'this', 'microscopic', 'angle', ',', 'the', 'danger', 'can', 'be', 'observed', 'most', 'closely', '.']","From this microscopic angle, the danger can be observed most closely."
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['The', 'delicious', 'juicy', 'fruit', 'globules', 'grow', 'in', 'clusters', 'and', 'are', 'available', 'in', 'two', 'different', 'green', 'and', 'black', 'varieties', '.']",The delicious juicy fruit globules grow in clusters and are available in two different green and black varieties.
"['B-Fruit', 'O', 'O', 'O', 'B-Nutrient', 'I-Nutrient', 'O', 'B-Natural_Resource', 'O', 'B-Natural_Resource', 'O', 'O', 'O', 'B-Natural_Resource', 'O']","['Jackfruits', 'are', 'high', 'in', 'Vitamin', 'C', ',', 'potassium', ',', 'iron', ',', 'and', 'even', 'magnesium', '.']","Jackfruits are high in Vitamin C, potassium, iron, and even magnesium."
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['One', 'of', 'the', 'ideas', 'circulating', 'is', 'that', 'it', 'should', 'adopt', 'an', 'agricultural', 'innovation', 'perspective', '.']",One of the ideas circulating is that it should adopt an agricultural innovation perspective.
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Location', 'O', 'B-Location', 'O', 'O', 'B-Location', 'O', 'O', 'O', 'B-Location', 'I-Location', 'I-Location', 'I-Location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['The', 'paper', 'starts', 'off', 'with', 'my', 'early', 'days', 'with', 'the', 'diffusion', 'of', 'innovations', 'and', 'the', 'agricultural', 'treadmill', 'in', 'the', 'MidWest', 'of', 'the', 'US', 'where', 'those', 'theories', 'emerged', 'and', 'became', 'dominant', '.']",The paper starts off with my early days with the diffusion of innovations and the agricultural treadmill in the MidWest of the US where those theories emerged and became dominant.
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Nutrient', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Due', 'to', 'its', 'impact', 'on', 'cell', 'wall', 'structure', ',', 'plant', 'membranes', ',', 'and', 'plant', 'metabolism', ',', 'B', 'was', 'discovered', 'to', 'alleviate', 'the', 'severity', 'of', 'numerous', 'diseases', '.']","Due to its impact on cell wall structure , plant membranes , and plant metabolism , B was discovered to alleviate the severity of numerous diseases ."
"['B-Nutrient', 'O', 'B-Nutrient', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Location', 'O', 'O', 'B-Nutrient', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Phosphorus', '(', 'P', ')', 'is', 'considered', 'as', 'a', 'second', 'most', 'vital', 'plant', 'nutrient', 'as', 'well', 'as', 'second', 'most', 'deficient', 'about', '90', '%', 'in', 'agricultural', 'soils', 'of', 'Pakistan', 'following', 'the', 'nitrogen', 'which', 'boosts', 'and', 'insures', 'bumper', 'crop', 'yield', '.']",Phosphorus (P) is considered as a second most vital plant nutrient as well as second most deficient about 90% in agricultural soils of Pakistan following the nitrogen which boosts and insures bumper crop yield.
"['O', 'O', 'B-Natural_Disaster', 'O', 'B-Natural_Disaster', 'O', 'B-Natural_Disaster', 'O', 'B-Natural_Disaster', 'I-Natural_Disaster', 'I-Natural_Disaster', 'I-Natural_Disaster', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Impacts', 'of', 'droughts', ',', 'cyclones', ',', 'floods', ',', 'forest', 'and', 'bush', 'fires', 'on', 'agriculture', ',', 'rangeland', 'and', 'forestry', 'were', 'described', 'with', 'suitable', 'examples', '.']","Impacts of droughts, cyclones, floods, forest and bush fires on agriculture, rangeland and forestry were described with suitable examples."
"['B-Location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Season', 'O', 'B-Season', 'O']","['India', 'will', 'also', 'begin', 'to', 'experience', 'more', 'seasonal', 'variation', 'in', 'temperature', 'with', 'more', 'warming', 'in', 'the', 'winters', 'than', 'summers', '.']",India will also begin to experience more seasonal variation in temperature with more warming in the winters than summers.
"['O', 'O', 'O', 'O', 'O', 'B-Person', 'O', 'O', 'O', 'B-Organism', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Location', 'O', 'O', 'B-Organism', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['A', 'potential', 'strategy', 'proposed', 'by', 'conservationists', 'is', 'to', 'utilize', 'livestock', 'as', '``', 'ecosystem', 'engineers', ""''"", 'in', 'order', 'to', 'enhance', 'habitat', 'diversity', 'within', 'rangelands', ',', 'as', 'birds', 'rely', 'on', 'a', 'range', 'of', 'vegetation', 'densities', 'from', 'sparse', 'to', 'dense', '.']","A potential strategy proposed by conservationists is to utilize livestock as `` ecosystem engineers '' in order to enhance habitat diversity within rangelands , as birds rely on a range of vegetation densities from sparse to dense ."
"['B-Disease', 'I-Disease', 'O', 'O', 'O', 'O', 'B-Organism', 'O', 'O', 'B-Organism', 'I-Organism', 'O', 'B-Organism', 'I-Organism', 'O', 'O', 'B-Organism', 'O', 'O', 'O', 'B-Organism', 'O', 'O', 'B-Organism', 'O', 'B-Organism', 'O', 'O', 'O', 'O']","['Root', 'rot', 'is', 'caused', 'by', 'numerous', 'fungi', ',', 'especially', 'Armillaria', 'mellea', ',', 'Clitocybe', 'tabescens', ',', 'and', 'Fusarium', ',', 'and', 'many', 'oomycetes', ',', 'including', 'Pythium', ',', 'Phytophthora', ',', 'and', 'Aphanomyces', '.']","Root rot is caused by numerous fungi, especially Armillaria mellea, Clitocybe tabescens, and Fusarium, and many oomycetes, including Pythium, Phytophthora, and Aphanomyces."
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Natural_Disaster', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Natural_Disaster', 'I-Natural_Disaster', 'I-Natural_Disaster', 'I-Natural_Disaster', 'I-Natural_Disaster', 'O']","['Enhancing', 'the', 'resistance', 'of', 'new', 'crop', 'varieties', 'to', 'abiotic', 'and', 'biotic', 'stresses', 'is', 'fundamental', 'for', 'minimizing', 'the', 'consequences', 'of', 'climate', 'and', 'other', 'environmental', 'changes', '.']",Enhancing the resistance of new crop varieties to abiotic and biotic stresses is fundamental for minimizing the consequences of climate and other environmental changes .
"['O', 'B-Organization', 'I-Organization', 'I-Organization', 'O', 'B-Location', 'O', 'B-Organization', 'I-Organization', 'I-Organization', 'I-Organization', 'O', 'B-Location', 'O', 'I-Organization', 'O', 'O', 'O', 'O', 'O', 'B-Duration', 'O', 'B-Duration', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Agri_Process', 'O', 'B-Chemical', 'O', 'B-Crop', 'I-Crop', 'O', 'B-Crop', 'I-Crop', 'O', 'O', 'O', 'B-Crop', 'O', 'O', 'O']","['The', 'Regional', 'Research', 'Station', 'in', 'Bawal', ',', 'CCS', 'Haryana', 'Agricultural', 'University', ',', 'Hisar', ',', 'Haryana', 'conducted', 'a', 'field', 'experiment', 'in', '2017�18', 'and', '2018�19', 'to', 'investigate', 'the', 'impact', 'of', 'different', 'levels', 'of', 'irrigation', 'and', 'anti-transpirants', 'on', 'Indian', 'mustard', '[', 'Brassica', 'juncea', '(', 'L.', ')', 'Czern', '.', ']', '.']","The Regional Research Station in Bawal , CCS Haryana Agricultural University , Hisar , Haryana conducted a field experiment in 2017�18 and 2018�19 to investigate the impact of different levels of irrigation and anti-transpirants on Indian mustard [ Brassica juncea ( L. ) Czern . ] ."
"['O', 'O', 'O', 'O', 'O', 'O', 'B-Chemical', 'I-Chemical', 'O', 'I-Chemical', 'O', 'B-Chemical', 'O', 'B-Chemical', 'O', 'I-Chemical', 'B-Chemical', 'O', 'O', 'I-Agri_Pollution', 'I-Agri_Waste', 'I-Chemical', 'B-Agri_Waste', 'O', 'O', 'O', 'O', 'O', 'B-Agri_Waste', 'O', 'O', 'B-Agri_Pollution', 'I-Agri_Pollution', 'O', 'B-Natural_Resource', 'O', 'I-Chemical', 'B-Organism', 'O']","['Among', 'the', 'pollutants', 'in', 'agriculture', 'are', 'organic', 'and', 'synthetic', 'fertilizers', ',', 'herbicides', ',', 'insecticides', ',', 'and', 'pesticides', ';', 'decomposing', 'plant', 'matter', 'and', 'animal', 'excreta', ';', 'as', 'well', 'as', 'irrigation', 'residuals', 'like', 'trace', 'metals', ',', 'salts', ',', 'and', 'microorganisms', '.']","Among the pollutants in agriculture are organic and synthetic fertilizers , herbicides , insecticides , and pesticides ; decomposing plant matter and animal excreta ; as well as irrigation residuals like trace metals , salts , and microorganisms ."
"['O', 'O', 'O', 'O', 'O', 'O', 'B-Nutrient', 'I-Nutrient', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['The', 'reddish', 'pulp', 'is', 'rich', 'in', 'Vitamin', 'A', ',', 'which', 'helps', 'both', 'the', 'eyes', 'and', 'the', 'skin', '.']","The reddish pulp is rich in Vitamin A, which helps both the eyes and the skin."
"['O', 'O', 'O', 'O', 'B-Crop', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Among', 'the', 'genotypes', ',', 'NK-6240', 'found', 'superior', 'over', 'rest', 'of', 'the', 'genotypes', '.']","Among the genotypes, NK-6240 found superior over rest of the genotypes."
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Location', 'I-Location', 'O', 'B-Location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Citation', 'I-Citation', 'O', 'O', 'B-Citation', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Citation', 'B-Citation', 'B-Citation', 'B-Citation', 'B-Citation', 'O', 'O']","['Limited', 'implementation', 'of', 'novel', 'technologies', 'in', 'the', 'New', 'Zealand', '(', 'NZ', ')', 'primary', 'industries', 'is', 'substantially', 'under-delivering', 'the', 'potential', 'impacts', 'of', 'new', 'technology', '(', 'Turner', 'et', 'al', ',', '2013', ')', ',', 'with', 'significant', 'economic', 'and', 'environmental', 'cost', '(', 'Ministry', 'for', 'Primary', 'Industries', '2011', ')', '.']","Limited implementation of novel technologies in the New Zealand (NZ) primary industries is substantially under-delivering the potential impacts of new technology (Turner et al, 2013), with significant economic and environmental cost (Ministry for Primary Industries 2011)."
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Person', 'O', 'O', 'O', 'O', 'O', 'B-Location', 'O']","['The', 'results', 'suggest', 'that', 'the', 'government', '’', 's', 'commitment', 'to', 'social', 'participation', 'in', 'knowledge', 'development', 'provides', 'the', 'basic', 'prerequisite', 'for', 'an', 'effective', 'integration', 'of', 'farmers', '’', 'experiments', 'and', 'innovation', 'in', 'Cuba', '.']",The results suggest that the government’s commitment to social participation in knowledge development provides the basic prerequisite for an effective integration of farmers’ experiments and innovation in Cuba.
"['O', 'O', 'O', 'O', 'O', 'O', 'B-Nutrient', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['First', ',', 'it', 'is', 'loaded', 'with', 'Vitamin', 'C-', 'a', 'great', 'source', 'of', 'ascorbic', 'acid', 'that', 'will', 'help', 'you', 'prevent', 'scurvies', 'and', 'increase', 'the', 'body', '’', 's', 'immune', 'system', '.']","First, it is loaded with Vitamin C- a great source of ascorbic acid that will help you prevent scurvies and increase the body’s immune system."
"['B-Agri_Process', 'I-Agri_Process', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Technology', 'I-Technology', 'I-Technology', 'I-Technology', 'I-Technology', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Crop', 'diversification', 'is', 'an', 'effort', 'to', 'increase', 'crop', 'diversity', 'by', 'temporal', 'and', 'spatial', 'cropping', 'system', 'to', 'enhance', 'productivity', ',', 'sustainability', 'and', 'maintain', 'the', 'ecological', 'balance', '.']","Crop diversification is an effort to increase crop diversity by temporal and spatial cropping system to enhance productivity, sustainability and maintain the ecological balance."
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Chemical', 'I-Chemical', 'O', 'O', 'O', 'B-Chemical', 'I-Chemical', 'O', 'B-Chemical', 'O', 'O', 'B-Chemical', 'O', 'B-Chemical', 'O', 'O', 'O', 'B-Chemical', 'I-Chemical', 'O', 'B-Chemical', 'O', 'O']","['The', 'fluctuations', 'in', 'the', 'global', 'climate', 'are', 'influenced', 'by', 'the', 'increase', 'in', 'greenhouse', 'gas', 'emissions', 'such', 'as', 'carbon', 'dioxide', '(', 'CO2', ')', ',', 'methane', '(', 'CH4', ')', ',', 'and', 'nitrous', 'oxide', '(', 'N2O', ')', '.']","The fluctuations in the global climate are influenced by the increase in greenhouse gas emissions such as carbon dioxide ( CO2 ) , methane ( CH4 ) , and nitrous oxide ( N2O ) ."
"['O', 'B-Location', 'B-Organization', 'I-Organization', 'O', 'O', 'B-Organization', 'O', 'O', 'O', 'B-Date_and_Time', 'O', 'B-Location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Agri_Pollution', 'I-Agri_Pollution', 'O']","['The', 'U.S.', 'National', 'Research', 'Council', '(', 'NRC', ')', 'concluded', 'in', '2002', 'that', 'U.S.', 'agriculture', 'is', 'vulnerable', 'to', 'attack', 'and', 'that', 'the', 'country', 'has', 'inadequate', 'plans', 'for', 'dealing', 'with', 'agricultural', 'bioterrorism', '.']",The U.S. National Research Council (NRC) concluded in 2002 that U.S. agriculture is vulnerable to attack and that the country has inadequate plans for dealing with agricultural bioterrorism.
"['B-Nutrient', 'O', 'B-Nutrient', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Location', 'O', 'O', 'B-Nutrient', 'O', 'O', 'O', 'O', 'O', 'B-Field_Area', 'B-Field_Area', 'O']","['Phosphorus', '(', 'P', ')', 'is', 'considered', 'as', 'a', 'second', 'most', 'vital', 'plant', 'nutrient', 'as', 'well', 'as', 'second', 'most', 'deficient', 'about', '90', '%', 'in', 'agricultural', 'soils', 'of', 'Pakistan', 'following', 'the', 'nitrogen', 'which', 'boosts', 'and', 'insures', 'bumper', 'crop', 'yield', '.']",Phosphorus (P) is considered as a second most vital plant nutrient as well as second most deficient about 90% in agricultural soils of Pakistan following the nitrogen which boosts and insures bumper crop yield.
"['O', 'O', 'O', 'O', 'O', 'O', 'B-Season', 'O', 'B-Agri_Process', 'B-Date_and_Time', 'O', 'O', 'O', 'O', 'B-Organization', 'B-Crop', 'O', 'B-Crop', 'B-Crop', 'O', 'O', 'O', 'O', 'B-Agri_Process', 'B-Agri_Process', 'B-Agri_Process', 'B-Agri_Process', 'O', 'O', 'O', 'B-Organization', 'B-Organization', 'B-Organization', 'B-Organization', 'O', 'B-Organization', 'B-Organization', 'B-Organization', 'B-Organization', 'O', 'B-Location', 'O', 'B-Location', 'O']","['A', 'field', 'experiment', 'was', 'conducted', 'during', 'summer', '2018', 'and', '2019', 'to', 'study', 'the', 'performance', 'of', 'maize', '(', 'Zea', 'mays', 'L.', ')', 'genotypes', 'under', 'drip', 'and', 'furrow', 'irrigation', 'regimes', 'at', 'the', 'Main', 'Agriculture', 'Research', 'Station', ',', 'University', 'of', 'Agricultural', 'Sciences', ',', 'Dharwad', ',', 'Karnataka', '.']","A field experiment was conducted during summer 2018 and 2019 to study the performance of maize (Zea mays L.) genotypes under drip and furrow irrigation regimes at the Main Agriculture Research Station, University of Agricultural Sciences, Dharwad, Karnataka."
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Profile', 'pits', 'were', 'dug', 'at', 'selected', 'points', 'and', 'auger', 'and', 'core', 'samples', 'were', 'collected', 'from', 'different', 'soil', 'horizons', 'of', 'dump', 'and', 'non-dump', 'sites', 'using', 'free', 'survey', 'technique', 'to', 'choose', 'observation', 'points', '.']",Profile pits were dug at selected points and auger and core samples were collected from different soil horizons of dump and non-dump sites using free survey technique to choose observation points.
"['O', 'B-Organization', 'B-Organization', 'B-Organization', 'O', 'B-Organization', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['The', 'Agricultural', 'Innovation', 'Systems', '(', 'AIS', ')', 'approach', 'recognises', 'innovation', 'is', 'more', 'than', 'adopting', 'new', 'technologies', ';', 'it', 'involves', 'co-evolution', 'of', 'technologies', ',', 'societies', ',', 'economies', 'and', 'institutions', '(', 'Klerkx', ',', 'van', 'Mierlo', ',', 'and', 'Leeuwis', '2012', ',', 'Vereijssen', 'et', 'al', ',', '2017', ')', '.']","The Agricultural Innovation Systems (AIS) approach recognises innovation is more than adopting new technologies; it involves co-evolution of technologies, societies, economies and institutions (Klerkx, van Mierlo, and Leeuwis 2012, Vereijssen et al, 2017)."
"['B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Organism', 'I-Organism', 'O', 'B-Organism', 'O', 'O', 'B-Organism', 'I-Organism', 'O', 'B-Organism', 'O', 'O']","['Rot', ',', 'any', 'of', 'several', 'plant', 'diseases', ',', 'caused', 'by', 'any', 'of', 'hundreds', 'of', 'species', 'of', 'soil-borne', 'bacteria', ',', 'fungi', ',', 'and', 'funguslike', 'organisms', '(', 'Oomycota', ')', '.']","Rot, any of several plant diseases, caused by any of hundreds of species of soil-borne bacteria, fungi, and funguslike organisms (Oomycota)."
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Location', 'O', 'O', 'O', 'B-Location', 'I-Location', 'B-Location', 'I-Location', 'I-Location', 'O', 'B-Location', 'O']","['Apart', 'from', 'that', ',', 'it', 'encompasses', 'territories', 'in', 'the', 'Upper', 'East', 'region', 'and', 'the', 'northern', 'regions', 'of', 'Brong', 'Ahafo', 'and', 'Volta', '.']","Apart from that , it encompasses territories in the Upper East region and the northern regions of Brong Ahafo and Volta ."
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Organization', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['The', 'focus', 'of', 'this', 'paper', 'involves', 'consideration', 'of', 'the', 'co-innovation', 'approach', 'in', 'three', 'case', 'studies', 'in', 'the', 'NZ', 'AIS', '(', 'Bitzer', 'and', 'Bijman', '2015', ',', 'Botha', 'et', 'al', ',', '2014', ',', 'Dogliotti', 'et', 'al', ',', '2014', ')', '.']","The focus of this paper involves consideration of the co-innovation approach in three case studies in the NZ AIS (Bitzer and Bijman 2015, Botha et al, 2014, Dogliotti et al, 2014)."
"['O', 'O', 'O', 'O', 'O', 'O', 'B-Agri_Process', 'I-Agri_Process', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['In', 'recent', 'years', 'the', 'importance', 'of', 'sustainable', 'agriculture', 'has', 'risen', 'to', 'become', 'one', 'of', 'the', 'most', 'important', 'issues', 'in', 'agriculture', '.']",In recent years the importance of sustainable agriculture has risen to become one of the most important issues in agriculture.
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Person', 'O', 'O', 'O', 'O', 'O', 'B-Location', 'O']","['The', 'study', 'results', 'highlight', 'that', 'the', 'government', ""'s"", 'prioritization', 'of', 'social', 'participation', 'in', 'knowledge', 'development', 'is', 'crucial', 'for', 'enabling', 'the', 'seamless', 'integration', 'of', 'farmers', ""'"", 'experiments', 'and', 'innovation', 'in', 'Cuba', '.']",The study results highlight that the government 's prioritization of social participation in knowledge development is crucial for enabling the seamless integration of farmers ' experiments and innovation in Cuba .
"['O', 'B-Location', 'I-Location', 'I-Location', 'O', 'O', 'B-Location', 'I-Location', 'I-Location', 'I-Location', 'I-Location', 'I-Location', 'B-Location', 'O', 'B-Location', 'I-Location', 'I-Location', 'I-Location', 'I-Location', 'O', 'O', 'B-Location', 'I-Location', 'O', 'B-Location', 'I-Location', 'I-Location', 'I-Location', 'I-Location', 'I-Location', 'O']","['The', 'Forest', 'Savannah', 'Transition', 'lies', 'within', 'the', 'middle', 'portion', 'of', 'Brong', 'Ahafo', 'region', ',', 'the', 'northern', 'part', 'of', 'both', 'Ashanti', 'and', 'Eastern', 'regions', 'and', 'the', 'western', 'part', 'of', 'Volta', 'region', '.']","The Forest Savannah Transition lies within the middle portion of Brong Ahafo region, the northern part of both Ashanti and Eastern regions and the western part of Volta region."
